名前, 場所, 緯度, 経度, 開催日, 総打上数
利根川大花火大会, 茨城県猿島郡境町, 36.106377, 139.788235, 7月第2土曜日, 20800
あゆみ祭り湖上打上花火, 茨城県かすみがうら市, 36.070851, 140.37793, 7月15日, 1200
大洗海上花火大会, 茨城県茨城郡大洗町, 36.301891, 140.574362, 7月下旬, 3000
古河花火大会, 茨城県古河市, 36.194468, 139.691309, 8月第1土曜日, 20000
那珂湊海上花火大会, 茨城県ひたちなか市, 36.3415, 140.6028, 8月, 1600
水戸黄門まつり花火大会, 茨城県水戸市, 36.370104, 140.459343, 8月第1金曜日, 7000
とりで利根川大花火, 茨城県取手市, 35.886578, 140.068918, 8月第2土曜日, 7000
東海まつり花火大会, 茨城県那珂郡東海村, 36.456215, 140.592808, 8月第2日曜日, 3000
鹿嶋市花火大会, 茨城県鹿嶋市, 35.961010, 140.613121, 8月下旬, 10000
いなしき夏まつり花火大会, 茨城県稲敷市, 35.952697, 140.329386, 8月第4土曜日, 10000
常総きぬ川花火大会, 茨城県常総市, 36.027453, 139.985306, 8月第5(9月第1)土曜日, 10000
土浦全国花火競技大会, 茨城県土浦市, 36.084298, 140.178890, 10月第1土曜日, 20000
真岡市夏祭り大花火大会, 栃木県真岡市, 36.440056, 140.014610, 7月最終土曜日, 20000
小山の花火, 栃木県小山市, 36.313494, 139.793803, 7月最終土曜日, 20000
足利花火大会, 栃木県足利市, 36.325381, 139.456294, 8月第1土曜日, 25000
うつのみや花火大会, 栃木県宇都宮市, 36.564052, 139.970553, 8月第2土曜日, 30000
ツインリンクもてぎ 花火の祭典, 栃木県芳賀郡茂木町,36.533250, 140.227472, 8月14日, 14000
りんどう湖花火大会, 栃木県那須郡那須町, 37.043170, 140.049722, 7月・8月・9月のうち11日間, 3000
やいた花火大会, 栃木県矢板市, 36.805331, 139.919234, 10月第2土曜日, 12000
たまむら花火大会, 群馬県佐波郡玉村町,36.322058, 139.121030, 7月第2土曜日, 8000
館林手筒花火大会, 群馬県館林市, 36.244116, 139.543084, 7月下旬, 2000
榛名の祭り花火大会, 群馬県高崎市, 36.475799, 138.867046, 8月第1金曜日, 3000
高崎まつり花火大会, 群馬県高崎市, 36.324528, 138.995977, 8月第1土曜日, 15000
明和まつり, 群馬県邑楽郡明和町, 36.210680, 139.533112, 8月上旬, 5000
新田まつり, 群馬県太田市, 36.300188, 139.297666, 8月第2土曜日, 8000
前橋花火大会, 群馬県前橋市, 36.408503, 139.049158, 8月第2土曜日, 15000
磯部温泉祭り花火大会, 群馬県安中市, 36.303933, 138.842642, 8月15日, 3000
